env.task_name,agent.agent_name,env.benchmark,index,exp_dir,agent.chat_model.model_name,agent.chat_model.max_total_tokens,agent.chat_model.max_input_tokens,agent.chat_model.max_new_tokens,agent.chat_model.temperature,agent.chat_model.vision_support,agent.chat_model.log_probs,agent.flags.obs.use_html,agent.flags.obs.use_ax_tree,agent.flags.obs.use_tabs,agent.flags.obs.use_focused_element,agent.flags.obs.use_error_logs,agent.flags.obs.use_history,agent.flags.obs.use_past_error_logs,agent.flags.obs.use_action_history,agent.flags.obs.use_think_history,agent.flags.obs.use_diff,agent.flags.obs.html_type,agent.flags.obs.use_screenshot,agent.flags.obs.use_som,agent.flags.obs.extract_visible_tag,agent.flags.obs.extract_clickable_tag,agent.flags.obs.extract_coords,agent.flags.obs.filter_visible_elements_only,agent.flags.obs.openai_vision_detail,agent.flags.obs.filter_with_bid_only,agent.flags.obs.filter_som_only,agent.flags.action.action_set.subsets,agent.flags.action.action_set.multiaction,agent.flags.action.action_set.strict,agent.flags.action.action_set.retry_with_force,agent.flags.action.action_set.demo_mode,agent.flags.action.long_description,agent.flags.action.individual_examples,agent.flags.action.multi_actions,agent.flags.action.is_strict,agent.flags.use_plan,agent.flags.use_criticise,agent.flags.use_thinking,agent.flags.use_memory,agent.flags.use_concrete_example,agent.flags.use_abstract_example,agent.flags.use_hints,agent.flags.enable_chat,agent.flags.max_prompt_tokens,agent.flags.be_cautious,agent.flags.extra_instructions,agent.flags.add_missparsed_messages,agent.flags.max_trunc_itr,agent.flags.flag_group,agent.max_retry,env.task_seed,env.max_steps,env.headless,env.record_video,env.wait_for_user_message,env.viewport,env.slow_mo,env.storage_state,env.task_kwargs,exp_name,enable_debug,err_msg,stack_trace,order,logging_level,logging_level_stdout,exp_id,depends_on,save_screenshot,save_som,n_steps,cum_reward,cum_raw_reward,stats.cum_steps,stats.cum_n_token_goal,stats.max_n_token_goal,stats.cum_n_token_url,stats.max_n_token_url,stats.cum_n_token_focused_element_bid,stats.max_n_token_focused_element_bid,stats.cum_n_token_last_action,stats.max_n_token_last_action,stats.cum_n_token_last_action_error,stats.max_n_token_last_action_error,stats.cum_n_token_dom_txt,stats.max_n_token_dom_txt,stats.cum_n_token_axtree_txt,stats.max_n_token_axtree_txt,stats.cum_n_token_pruned_html,stats.max_n_token_pruned_html,stats.cum_n_retry_llm,stats.max_n_retry_llm,stats.cum_n_retry,stats.max_n_retry,stats.cum_busted_retry,stats.max_busted_retry,stats.cum_input_tokens,stats.max_input_tokens,stats.cum_output_tokens,stats.max_output_tokens,stats.cum_cost,stats.max_cost,stats.cum_n_token_agent_messages,stats.max_n_token_agent_messages,stats.cum_step_elapsed,stats.max_step_elapsed,stats.cum_agent_elapsed,stats.max_agent_elapsed,terminated,truncated,err_key
webmall.Webmall_Best_Fit_Vague_Task1,GenericAgent-gpt-4.1-2025-04-14,webmall,0,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-30_11-38-27_genericagent-gpt-4-1-2025-04-14-on-webmall-advanced-v0-7-ax/2025-08-30_11-38-33_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Vague_Task1_22,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,22,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Vague_Task1_22,True,,,5,10,20,14cb657b-e302-4714-887f-fa79d77332c1,(),True,False,25,0.0,0,26,9600.0,384.0,1292.0,163.0,25.0,1.0,478.0,108.0,12.0,12.0,798696.0,58962.0,74872.0,6870.0,359818.0,29667.0,25.0,1.0,0.0,0.0,0.0,0.0,502157.0,36372.0,2886.0,218.0,1.0274020000000001,0.073272,503051.0,36224.0,139.60607600212097,21.626853942871094,118.26248788833618,17.743030548095703,True,False,
webmall.Webmall_Best_Fit_Vague_Task2,GenericAgent-gpt-4.1-2025-04-14,webmall,1,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-30_11-38-27_genericagent-gpt-4-1-2025-04-14-on-webmall-advanced-v0-7-ax/2025-08-30_11-38-33_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Vague_Task2_10,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,10,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Vague_Task2_10,True,,,6,10,20,462e6088-657a-4b4a-a167-d9293413d0e4,(),True,False,50,0.0,0,51,19100.0,382.0,1676.0,47.0,50.0,1.0,280.0,35.0,64.0,64.0,2177110.0,62019.0,207034.0,6866.0,1062657.0,32685.0,50.0,1.0,0.0,0.0,0.0,0.0,1497065.0,43237.0,6302.0,295.0,3.0445459999999995,0.08725,1499700.0,43193.0,321.7979226112366,23.401214599609375,327.2387135028839,60.95274233818054,False,True,
webmall.Webmall_Best_Fit_Vague_Task3,GenericAgent-gpt-4.1-2025-04-14,webmall,2,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-30_11-38-27_genericagent-gpt-4-1-2025-04-14-on-webmall-advanced-v0-7-ax/2025-08-30_11-38-33_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Vague_Task3_10,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,10,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Vague_Task3_10,True,,,7,10,20,b0041201-d48d-4ce5-8530-1774632986d0,(),True,False,21,0.31666666666666665,0,22,8127.0,387.0,563.0,82.0,21.0,1.0,339.0,87.0,142.0,71.0,759421.0,59505.0,78314.0,8869.0,356120.0,29662.0,21.0,1.0,0.0,0.0,0.0,0.0,492555.0,37928.0,3128.0,274.0,1.0101339999999999,0.07733599999999999,494348.0,37976.0,130.04811429977417,20.63136577606201,107.44581031799316,7.2926154136657715,True,False,
webmall.Webmall_Best_Fit_Vague_Task4,GenericAgent-gpt-4.1-2025-04-14,webmall,3,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-30_11-38-27_genericagent-gpt-4-1-2025-04-14-on-webmall-advanced-v0-7-ax/2025-08-30_11-38-33_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Vague_Task4_23,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,23,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Vague_Task4_23,True,,,8,10,20,6574d09d-0c82-4b41-87c0-641db18f2acb,(),True,False,25,0.37777777777777777,0,26,9625.0,385.0,676.0,68.0,25.0,1.0,551.0,228.0,70.0,70.0,1007641.0,61100.0,88948.0,8670.0,430327.0,29668.0,25.0,1.0,0.0,0.0,0.0,0.0,597185.0,37911.0,4171.0,625.0,1.227738,0.077046,599552.0,37950.0,147.3902232646942,27.098389625549316,126.7769205570221,10.234416484832764,True,False,
webmall.Webmall_Best_Fit_Vague_Task5,GenericAgent-gpt-4.1-2025-04-14,webmall,4,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-30_11-38-27_genericagent-gpt-4-1-2025-04-14-on-webmall-advanced-v0-7-ax/2025-08-30_11-38-33_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Vague_Task5_23,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,23,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Vague_Task5_23,True,,,9,10,20,b9cb0d25-23a6-4129-b861-f72b1e775baf,(),True,False,19,0.7333333333333334,0,20,7353.0,387.0,529.0,77.0,19.0,1.0,416.0,179.0,0.0,0.0,657350.0,58977.0,69020.0,6872.0,325548.0,29668.0,19.0,1.0,0.0,0.0,0.0,0.0,442380.0,36507.0,2934.0,470.0,0.9082319999999999,0.07367,444246.0,36393.0,101.08391237258911,16.762953758239746,118.4773416519165,12.630709171295166,True,False,
webmall.Webmall_Best_Fit_Vague_Task6,GenericAgent-gpt-4.1-2025-04-14,webmall,5,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-30_11-38-27_genericagent-gpt-4-1-2025-04-14-on-webmall-advanced-v0-7-ax/2025-08-30_11-38-33_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Vague_Task6_2,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,2,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Vague_Task6_2,True,,,10,10,20,692ab629-2523-4cca-af5d-d7d94641bf94,(),True,False,19,1.0,0,20,7619.0,401.0,442.0,64.0,19.0,1.0,260.0,69.0,67.0,67.0,693727.0,58934.0,79271.0,7632.0,356096.0,32245.0,19.0,1.0,0.0,0.0,0.0,0.0,481964.0,41068.0,2474.0,202.0,0.9837199999999999,0.083496,482945.0,41085.0,117.70693707466125,19.864995002746582,98.29947829246521,8.230968236923218,True,False,
webmall.Webmall_Best_Fit_Vague_Task7,GenericAgent-gpt-4.1-2025-04-14,webmall,6,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-30_11-38-27_genericagent-gpt-4-1-2025-04-14-on-webmall-advanced-v0-7-ax/2025-08-30_11-38-33_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Vague_Task7_21,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,21,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Vague_Task7_21,True,,,11,10,20,f575279f-a36c-440c-be44-be4452b1ce24,(),True,False,21,0.6333333333333333,0,22,8484.0,404.0,465.0,43.0,21.0,1.0,371.0,223.0,0.0,0.0,825686.0,72028.0,77720.0,6864.0,410113.0,36960.0,21.0,1.0,0.0,0.0,0.0,0.0,544232.0,46880.0,3182.0,519.0,1.11392,0.09507199999999999,545501.0,46908.0,131.06236457824707,22.471898794174194,117.63806509971619,11.050376892089844,True,False,
webmall.Webmall_Best_Fit_Vague_Task8,GenericAgent-gpt-4.1-2025-04-14,webmall,7,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-30_11-38-27_genericagent-gpt-4-1-2025-04-14-on-webmall-advanced-v0-7-ax/2025-08-30_11-38-33_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Vague_Task8_1,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,1,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Vague_Task8_1,True,,,12,10,20,f7963e1b-e012-4b6e-a1d6-72e84cd666b3,(),True,False,27,0.6400000000000001,0,28,10530.0,390.0,779.0,67.0,27.0,1.0,870.0,672.0,41.0,41.0,1030392.0,74423.0,102124.0,6913.0,535282.0,39047.0,27.0,1.0,0.0,0.0,0.0,0.0,735024.0,50465.0,5317.0,733.0,1.5125839999999997,0.102722,738574.0,50584.0,143.7307643890381,22.18843126296997,194.76797080039978,15.071221590042114,True,False,
webmall.Webmall_Cheapest_Best_Fit_Specific_Task1,GenericAgent-gpt-4.1-2025-04-14,webmall,9,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-30_11-38-27_genericagent-gpt-4-1-2025-04-14-on-webmall-advanced-v0-7-ax/2025-08-30_11-38-33_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Best_Fit_Specific_Task1_23,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,23,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Best_Fit_Specific_Task1_23,True,,,13,10,20,78283cd7-f00f-4d65-b209-55e55308fddd,(),True,False,18,0.0,0,19,7272.0,404.0,383.0,52.0,18.0,1.0,181.0,36.0,24.0,24.0,686165.0,68111.0,65147.0,6866.0,336807.0,33061.0,18.0,1.0,0.0,0.0,0.0,0.0,446143.0,42377.0,2367.0,260.0,0.911222,0.086834,447211.0,42577.0,114.43982243537903,24.53777575492859,85.57888650894165,8.221678495407104,True,False,
webmall.Webmall_Cheapest_Best_Fit_Specific_Task10,GenericAgent-gpt-4.1-2025-04-14,webmall,8,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-30_11-38-27_genericagent-gpt-4-1-2025-04-14-on-webmall-advanced-v0-7-ax/2025-08-30_11-38-33_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Best_Fit_Specific_Task10_27,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Cheapest_Best_Fit_Specific_Task10_27,True,,,22,10,20,df74a519-248a-4010-a725-32dee669b894,(),True,False,18,0.0,0,19,7056.0,392.0,375.0,35.0,18.0,1.0,248.0,40.0,0.0,0.0,687598.0,62684.0,63202.0,6870.0,314818.0,29667.0,18.0,1.0,0.0,0.0,0.0,0.0,418512.0,36549.0,2068.0,182.0,0.853568,0.073586,419945.0,36410.0,113.74480032920837,22.834500074386597,127.11542177200317,16.430153131484985,True,False,
