env.task_name,agent.agent_name,env.benchmark,index,exp_dir,agent.chat_model.model_name,agent.chat_model.max_total_tokens,agent.chat_model.max_input_tokens,agent.chat_model.max_new_tokens,agent.chat_model.temperature,agent.chat_model.vision_support,agent.chat_model.log_probs,agent.flags.obs.use_html,agent.flags.obs.use_ax_tree,agent.flags.obs.use_tabs,agent.flags.obs.use_focused_element,agent.flags.obs.use_error_logs,agent.flags.obs.use_history,agent.flags.obs.use_past_error_logs,agent.flags.obs.use_action_history,agent.flags.obs.use_think_history,agent.flags.obs.use_diff,agent.flags.obs.html_type,agent.flags.obs.use_screenshot,agent.flags.obs.use_som,agent.flags.obs.extract_visible_tag,agent.flags.obs.extract_clickable_tag,agent.flags.obs.extract_coords,agent.flags.obs.filter_visible_elements_only,agent.flags.obs.openai_vision_detail,agent.flags.obs.filter_with_bid_only,agent.flags.obs.filter_som_only,agent.flags.action.action_set.subsets,agent.flags.action.action_set.multiaction,agent.flags.action.action_set.strict,agent.flags.action.action_set.retry_with_force,agent.flags.action.action_set.demo_mode,agent.flags.action.long_description,agent.flags.action.individual_examples,agent.flags.action.multi_actions,agent.flags.action.is_strict,agent.flags.use_plan,agent.flags.use_criticise,agent.flags.use_thinking,agent.flags.use_memory,agent.flags.use_concrete_example,agent.flags.use_abstract_example,agent.flags.use_hints,agent.flags.enable_chat,agent.flags.max_prompt_tokens,agent.flags.be_cautious,agent.flags.extra_instructions,agent.flags.add_missparsed_messages,agent.flags.max_trunc_itr,agent.flags.flag_group,agent.max_retry,env.task_seed,env.max_steps,env.headless,env.record_video,env.wait_for_user_message,env.viewport,env.slow_mo,env.storage_state,env.task_kwargs,exp_name,enable_debug,err_msg,stack_trace,order,logging_level,logging_level_stdout,exp_id,depends_on,save_screenshot,save_som,n_steps,cum_reward,cum_raw_reward,stats.cum_steps,stats.cum_n_token_goal,stats.max_n_token_goal,stats.cum_n_token_url,stats.max_n_token_url,stats.cum_n_token_focused_element_bid,stats.max_n_token_focused_element_bid,stats.cum_n_token_last_action,stats.max_n_token_last_action,stats.cum_n_token_last_action_error,stats.max_n_token_last_action_error,stats.cum_n_token_dom_txt,stats.max_n_token_dom_txt,stats.cum_n_token_axtree_txt,stats.max_n_token_axtree_txt,stats.cum_n_token_pruned_html,stats.max_n_token_pruned_html,stats.cum_n_retry_llm,stats.max_n_retry_llm,stats.cum_n_retry,stats.max_n_retry,stats.cum_busted_retry,stats.max_busted_retry,stats.cum_input_tokens,stats.max_input_tokens,stats.cum_output_tokens,stats.max_output_tokens,stats.cum_cost,stats.max_cost,stats.cum_n_token_agent_messages,stats.max_n_token_agent_messages,stats.cum_step_elapsed,stats.max_step_elapsed,stats.cum_agent_elapsed,stats.max_agent_elapsed,terminated,truncated,err_key
webmall.Webmall_Add_To_Cart_Task1,GenericAgent-gpt-4o-mini-2024-07-18,webmall,2,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-07-29_14-25-00_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-07-29_14-25-06_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task1_8,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,8,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task1_8,True,,,33,10,20,6ef96786-28f7-46c3-9c18-30490680030a,(),True,False,17,1.0,0,18,6902,406,416,56,17,1,255,74,0,0,705423,141503,54746,6886,278445,29675,17,1,0.0,0.0,0,0,87948,8886,1591,244,0.014146800000000001,0.0013725,89839,8994,80.36856961250305,7.619560956954956,57.04351997375488,7.520457983016968,True,False,
webmall.Webmall_Add_To_Cart_Task2,GenericAgent-gpt-4o-mini-2024-07-18,webmall,3,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-07-29_14-25-00_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-07-29_14-25-06_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task2_25,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,25,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task2_25,True,,,34,10,20,7c1360a4-3595-407b-9e8d-6866d33cf5d1,(),True,False,17,0.9,0,18,6987,411,443,56,17,1,291,86,0,0,744612,141479,54894,6898,283821,29681,17,1,0.0,0.0,0,0,89035,8957,1677,198,0.014361449999999998,0.00138555,91059,9069,78.9819164276123,7.9122538566589355,58.38946223258972,4.61964750289917,True,False,
webmall.Webmall_Add_To_Cart_Task3,GenericAgent-gpt-4o-mini-2024-07-18,webmall,4,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-07-29_14-25-00_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-07-29_14-25-06_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task3_1,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,1,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task3_1,True,,,35,10,20,54863ce0-0851-4e60-bffa-3f297d5d3543,(),True,False,17,0.9,0,18,6817,401,434,60,17,1,238,69,65,41,612380,58927,54499,6880,274112,29672,17,1,0.0,0.0,0,0,86929,8817,1489,234,0.013932749999999999,0.00135915,88706,8920,77.5957498550415,8.979380369186401,51.168787479400635,5.150251150131226,True,False,
webmall.Webmall_Add_To_Cart_Task4,GenericAgent-gpt-4o-mini-2024-07-18,webmall,5,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-07-29_14-25-00_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-07-29_14-25-06_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task4_19,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,19,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task4_19,True,,,36,10,20,597e43d7-068d-4f03-8a4b-c0a6f9c27547,(),True,False,19,0.6000000000000001,0,20,7752,408,689,72,19,1,344,77,166,71,753523,59827,58195,6890,305702,29677,19,1,0.0,0.0,0,0,98152,9193,1738,173,0.0157656,0.00142035,100180,9304,94.88396787643433,8.232661962509155,56.04220747947693,6.050095558166504,True,False,
webmall.Webmall_Add_To_Cart_Task5,GenericAgent-gpt-4o-mini-2024-07-18,webmall,6,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-07-29_14-25-00_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-07-29_14-25-06_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task5_27,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task5_27,True,,,37,10,20,5bfd1536-d3ff-4c25-9ec4-5813d94c7c44,(),True,False,17,1.0,0,18,6868,404,472,58,17,1,243,66,24,24,627802,58963,55138,6884,283539,29674,17,1,0.0,0.0,0,0,87694,8835,1413,138,0.0140019,0.00136185,89674,8955,79.74787831306458,7.901030540466309,42.72386598587036,4.2025556564331055,True,False,
webmall.Webmall_Add_To_Cart_Task6,GenericAgent-gpt-4o-mini-2024-07-18,webmall,7,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-07-29_14-25-00_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-07-29_14-25-06_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task6_6,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,6,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task6_6,True,,,38,10,20,bfb7a137-736f-4f67-beb5-c61ffeb0f0ba,(),True,False,23,0.6000000000000001,0,24,9476,412,676,57,23,1,546,120,24,24,1060091,157477,72829,6898,358090,29685,23,1,0.0,0.0,0,0,127073,8964,2575,314,0.020605949999999998,0.0013877999999999998,130499,9095,103.97042870521545,8.220747470855713,78.97359991073608,8.087693214416504,True,False,
webmall.Webmall_Add_To_Cart_Task7,GenericAgent-gpt-4o-mini-2024-07-18,webmall,8,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-07-29_14-25-00_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-07-29_14-25-06_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task7_7,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,7,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task7_7,True,,,39,10,20,15a15e03-086c-42c7-84fa-8903db49b90a,(),True,False,17,0.8,0,18,6834,402,375,37,17,1,229,64,0,0,617880,58920,49190,6878,258140,29671,17,1,0.0,0.0,0,0,81458,8904,1436,148,0.0130803,0.0013716,83226,9011,87.98362946510315,9.035385847091675,55.701894760131836,5.593477725982666,True,False,
webmall.Webmall_Best_Fit_Specific_Task1,GenericAgent-gpt-4o-mini-2024-07-18,webmall,11,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-07-29_14-25-00_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-07-29_14-25-06_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task1_27,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task1_27,True,,,22,10,20,e362409c-f3e7-4b14-b065-8ba0c3c80b99,(),True,False,18,0.4,0,19,6948,386,497,62,18,1,299,69,48,24,668984,58948,53562,6866,282700,29665,18,1,0.0,0.0,0,0,89923,9246,1744,176,0.01453485,0.0014271,91960,9355,120.32436180114746,10.867894887924194,59.35915517807007,7.942212343215942,True,False,
webmall.Webmall_Best_Fit_Specific_Task10,GenericAgent-gpt-4o-mini-2024-07-18,webmall,9,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-07-29_14-25-00_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-07-29_14-25-06_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task10_24,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,24,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task10_24,True,,,31,10,20,9b50cad5-48bb-4bbf-8524-7732574b1d14,(),True,False,20,0.0,0,21,8120,406,667,72,20,1,303,48,112,71,820486,58920,73674,6280,366706,33567,20,1,0.0,0.0,0,0,122792,9699,2550,196,0.0199488,0.0015387,125871,9858,102.65525007247925,10.848437547683716,71.54356288909912,5.793315410614014,True,False,
webmall.Webmall_Best_Fit_Specific_Task11,GenericAgent-gpt-4o-mini-2024-07-18,webmall,10,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-07-29_14-25-00_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-07-29_14-25-06_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task11_13,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,13,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task11_13,True,,,32,10,20,b4ff6a54-6ee1-4db4-a093-f7c48ae1767d,(),True,False,50,0.0,0,51,19650,393,868,46,50,1,433,20,0,0,554397,58955,50441,6890,244396,29677,50,1,0.0,0.0,0,0,214915,8807,3879,105,0.03456464999999999,0.0013648500000000001,219150,8922,194.9736843109131,8.08136510848999,125.40236067771912,4.633257627487183,False,True,
