env.task_name,agent.agent_name,env.benchmark,index,exp_dir,agent.chat_model.model_name,agent.chat_model.max_total_tokens,agent.chat_model.max_input_tokens,agent.chat_model.max_new_tokens,agent.chat_model.temperature,agent.chat_model.vision_support,agent.chat_model.log_probs,agent.flags.obs.use_html,agent.flags.obs.use_ax_tree,agent.flags.obs.use_tabs,agent.flags.obs.use_focused_element,agent.flags.obs.use_error_logs,agent.flags.obs.use_history,agent.flags.obs.use_past_error_logs,agent.flags.obs.use_action_history,agent.flags.obs.use_think_history,agent.flags.obs.use_diff,agent.flags.obs.html_type,agent.flags.obs.use_screenshot,agent.flags.obs.use_som,agent.flags.obs.extract_visible_tag,agent.flags.obs.extract_clickable_tag,agent.flags.obs.extract_coords,agent.flags.obs.filter_visible_elements_only,agent.flags.obs.openai_vision_detail,agent.flags.obs.filter_with_bid_only,agent.flags.obs.filter_som_only,agent.flags.action.action_set.subsets,agent.flags.action.action_set.multiaction,agent.flags.action.action_set.strict,agent.flags.action.action_set.retry_with_force,agent.flags.action.action_set.demo_mode,agent.flags.action.long_description,agent.flags.action.individual_examples,agent.flags.action.multi_actions,agent.flags.action.is_strict,agent.flags.use_plan,agent.flags.use_criticise,agent.flags.use_thinking,agent.flags.use_memory,agent.flags.use_concrete_example,agent.flags.use_abstract_example,agent.flags.use_hints,agent.flags.enable_chat,agent.flags.max_prompt_tokens,agent.flags.be_cautious,agent.flags.extra_instructions,agent.flags.add_missparsed_messages,agent.flags.max_trunc_itr,agent.flags.flag_group,agent.max_retry,env.task_seed,env.max_steps,env.headless,env.record_video,env.wait_for_user_message,env.viewport,env.slow_mo,env.storage_state,env.task_kwargs,exp_name,enable_debug,err_msg,stack_trace,order,logging_level,logging_level_stdout,exp_id,depends_on,save_screenshot,save_som,n_steps,cum_reward,cum_raw_reward,stats.cum_steps,stats.cum_n_token_goal,stats.max_n_token_goal,stats.cum_n_token_url,stats.max_n_token_url,stats.cum_n_token_focused_element_bid,stats.max_n_token_focused_element_bid,stats.cum_n_token_last_action,stats.max_n_token_last_action,stats.cum_n_token_last_action_error,stats.max_n_token_last_action_error,stats.cum_n_token_dom_txt,stats.max_n_token_dom_txt,stats.cum_n_token_axtree_txt,stats.max_n_token_axtree_txt,stats.cum_n_token_pruned_html,stats.max_n_token_pruned_html,stats.cum_n_retry_llm,stats.max_n_retry_llm,stats.cum_n_retry,stats.max_n_retry,stats.cum_busted_retry,stats.max_busted_retry,stats.cum_input_tokens,stats.max_input_tokens,stats.cum_output_tokens,stats.max_output_tokens,stats.cum_cost,stats.max_cost,stats.cum_n_token_agent_messages,stats.max_n_token_agent_messages,stats.cum_step_elapsed,stats.max_step_elapsed,stats.cum_agent_elapsed,stats.max_agent_elapsed,terminated,truncated,err_key
webmall.Webmall_Add_To_Cart_Task1,GenericAgent-gpt-4.1-2025-04-14,webmall,26,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-22_09-47-22_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-22_09-47-27_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task1_8,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,8,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task1_8,True,,,33,10,20,be1f5d3d-5268-45e5-8cc5-25291c57b0fd,(),True,False,17,1.0,0,18,6902,406,416,56,17,1,255,74,41,41,705511,141511,54707,6886,278450,29675,17,1,0.0,0.0,0,0,331971,32671,1554,173,0.676374,0.065942,313057,31395,77.63848900794983,9.05267858505249,110.05825161933899,11.884889125823975,True,False,
webmall.Webmall_Add_To_Cart_Task2,GenericAgent-gpt-4.1-2025-04-14,webmall,27,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-22_09-47-22_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-22_09-47-27_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task2_25,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,25,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task2_25,True,,,34,10,20,d63fcc2c-fe64-4147-93fb-606d98a8e50b,(),True,False,17,0.9,0,18,6987,411,443,56,17,1,283,78,24,24,744686,141484,54878,6898,283817,29681,17,1,0.0,0.0,0,0,337822,32697,1699,241,0.689236,0.065994,319193,31420,79.91935777664185,7.3834357261657715,105.97244668006897,11.984186172485352,True,False,
webmall.Webmall_Add_To_Cart_Task3,GenericAgent-gpt-4.1-2025-04-14,webmall,28,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-22_09-47-22_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-22_09-47-27_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task3_1,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,1,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task3_1,True,,,35,10,20,1a5a0100-502d-4199-85a4-15c123404b83,(),True,False,17,0.9,0,18,6817,401,434,60,17,1,274,105,24,24,612512,58955,54571,6880,274171,29672,17,1,0.0,0.0,0,0,327669,32746,1649,216,0.6685299999999998,0.06606799999999999,308969,31466,84.94970202445984,9.348888158798218,102.06068134307861,11.570384740829468,True,False,
webmall.Webmall_Add_To_Cart_Task4,GenericAgent-gpt-4.1-2025-04-14,webmall,29,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-22_09-47-22_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-22_09-47-27_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task4_19,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,19,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task4_19,True,,,36,10,20,a816a96e-8d8d-47db-9ff4-b344dc0ecb75,(),True,False,17,1.0,0,18,6936,408,545,72,17,1,265,76,89,41,662002,64829,54750,6890,283192,29677,17,1,0.0,0.0,0,0,337305,32807,1594,169,0.6873619999999999,0.066214,318695,31530,109.71808671951294,10.871776342391968,135.2755241394043,17.875662803649902,True,False,
webmall.Webmall_Add_To_Cart_Task5,GenericAgent-gpt-4.1-2025-04-14,webmall,30,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-22_09-47-22_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-22_09-47-27_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task5_27,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task5_27,True,,,37,10,20,0ad1e6a8-9e76-44f0-83f8-26217c7ecc94,(),True,False,17,1.0,0,18,6868,404,472,58,17,1,271,94,48,24,627925,58944,55201,6884,283589,29674,17,1,0.0,0.0,0,0,336725,32773,1613,282,0.686354,0.06608199999999999,318341,31499,127.3795554637909,10.389626264572144,90.42694187164307,8.256436824798584,True,False,
webmall.Webmall_Add_To_Cart_Task6,GenericAgent-gpt-4.1-2025-04-14,webmall,31,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-22_09-47-22_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-22_09-47-27_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task6_6,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,6,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task6_6,True,,,38,10,20,c5312e55-31cf-4b1b-94fe-5d5c2a7b6d52,(),True,False,17,1.0,0,18,7004,412,450,57,17,1,223,70,89,41,629780,58933,56468,6872,285311,29668,17,1,0.0,0.0,0,0,339947,32814,1759,246,0.693966,0.06625199999999999,321721,31555,176.76756072044373,21.347620487213135,133.998792886734,22.09060549736023,True,False,
webmall.Webmall_Add_To_Cart_Task7,GenericAgent-gpt-4.1-2025-04-14,webmall,32,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-22_09-47-22_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-22_09-47-27_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task7_7,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,7,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task7_7,True,,,39,10,20,c9eba326-4f81-4390-9fc5-c8ba9e5d90ee,(),True,False,18,0.8,0,19,7236,402,390,37,18,1,187,17,102,41,668194,58940,52327,6878,274459,29671,18,1,0.0,0.0,0,0,330698,32811,1510,116,0.673476,0.066174,310926,31529,153.79894351959229,18.306174278259277,108.47993183135986,11.358535766601562,True,False,
webmall.Webmall_Best_Fit_Specific_Task1,GenericAgent-gpt-4.1-2025-04-14,webmall,0,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-22_09-47-22_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-22_09-47-26_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task1_27,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task1_27,True,,,22,10,20,9ff9b5f9-97bd-40c9-a5de-2a1d30e5ea80,(),True,False,18,0.8,0,19,6948,386,332,62,18,1,253,103,65,41,539295,58931,47547,6870,248356,29667,18,1,0.0,0.0,0,0,306554,32775,1588,185,0.625812,0.06615,286911,31499,83.04580688476562,8.541449785232544,123.97504019737244,22.02240824699402,True,False,
webmall.Webmall_Best_Fit_Specific_Task10,GenericAgent-gpt-4.1-2025-04-14,webmall,33,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-22_09-47-22_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-22_09-47-27_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task10_24,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,24,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task10_24,True,,,31,10,20,22a7678d-81ac-4647-894c-415f9e793c4e,(),True,False,33,0.8,0,34,13398,406,771,35,33,1,413,134,96,24,1461357,75569,153958,7926,794979,40200,33,1,1.0,1.0,0,0,975871,61904,5277,837,1.993958,0.130504,910393,45917,238.2771134376526,28.766114234924316,368.83815360069275,49.70394015312195,True,False,
webmall.Webmall_Best_Fit_Specific_Task11,GenericAgent-gpt-4.1-2025-04-14,webmall,34,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-22_09-47-22_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-22_09-47-27_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task11_13,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,13,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task11_13,True,,,32,10,20,60073d1b-585d-4c2a-866a-34abd370b453,(),True,False,36,0.06666666666666667,0,37,14148,393,1231,59,36,1,318,92,159,70,1438251,73747,155619,7682,744005,38686,36,1,0.0,0.0,0,0,904412,44723,4197,277,1.8424,0.09035,864562,43580,179.277676820755,23.594032764434814,359.63685941696167,31.165653467178345,True,False,
