experiment_id,task_id,goal_description,achieved,weight
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer1,False,0.13333333333333333
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer2,False,0.13333333333333333
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer3,True,0.13333333333333333
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer4,True,0.13333333333333333
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer5,True,0.13333333333333333
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer6,True,0.13333333333333333
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_xcase.co.uk_489,False,0.05
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_xcase.co.uk_1021,False,0.05
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_memorysmithcomputing.uk_288,True,0.05
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_memorysmithcomputing.uk_366,True,0.05
