env.task_name,agent.agent_name,env.benchmark,index,exp_dir,agent.chat_model.model_name,agent.chat_model.max_total_tokens,agent.chat_model.max_input_tokens,agent.chat_model.max_new_tokens,agent.chat_model.temperature,agent.chat_model.vision_support,agent.chat_model.log_probs,agent.flags.obs.use_html,agent.flags.obs.use_ax_tree,agent.flags.obs.use_tabs,agent.flags.obs.use_focused_element,agent.flags.obs.use_error_logs,agent.flags.obs.use_history,agent.flags.obs.use_past_error_logs,agent.flags.obs.use_action_history,agent.flags.obs.use_think_history,agent.flags.obs.use_diff,agent.flags.obs.html_type,agent.flags.obs.use_screenshot,agent.flags.obs.use_som,agent.flags.obs.extract_visible_tag,agent.flags.obs.extract_clickable_tag,agent.flags.obs.extract_coords,agent.flags.obs.filter_visible_elements_only,agent.flags.obs.openai_vision_detail,agent.flags.obs.filter_with_bid_only,agent.flags.obs.filter_som_only,agent.flags.action.action_set.subsets,agent.flags.action.action_set.multiaction,agent.flags.action.action_set.strict,agent.flags.action.action_set.retry_with_force,agent.flags.action.action_set.demo_mode,agent.flags.action.long_description,agent.flags.action.individual_examples,agent.flags.action.multi_actions,agent.flags.action.is_strict,agent.flags.use_plan,agent.flags.use_criticise,agent.flags.use_thinking,agent.flags.use_memory,agent.flags.use_concrete_example,agent.flags.use_abstract_example,agent.flags.use_hints,agent.flags.enable_chat,agent.flags.max_prompt_tokens,agent.flags.be_cautious,agent.flags.extra_instructions,agent.flags.add_missparsed_messages,agent.flags.max_trunc_itr,agent.flags.flag_group,agent.max_retry,env.task_seed,env.max_steps,env.headless,env.record_video,env.wait_for_user_message,env.viewport,env.slow_mo,env.storage_state,env.task_kwargs,exp_name,enable_debug,err_msg,stack_trace,order,logging_level,logging_level_stdout,exp_id,depends_on,save_screenshot,save_som,n_steps,cum_reward,cum_raw_reward,stats.cum_steps,stats.cum_n_token_goal,stats.max_n_token_goal,stats.cum_n_token_url,stats.max_n_token_url,stats.cum_n_token_focused_element_bid,stats.max_n_token_focused_element_bid,stats.cum_n_token_last_action,stats.max_n_token_last_action,stats.cum_n_token_last_action_error,stats.max_n_token_last_action_error,stats.cum_n_token_dom_txt,stats.max_n_token_dom_txt,stats.cum_n_token_axtree_txt,stats.max_n_token_axtree_txt,stats.cum_n_token_pruned_html,stats.max_n_token_pruned_html,stats.cum_n_retry_llm,stats.max_n_retry_llm,stats.cum_n_retry,stats.max_n_retry,stats.cum_busted_retry,stats.max_busted_retry,stats.cum_input_tokens,stats.max_input_tokens,stats.cum_output_tokens,stats.max_output_tokens,stats.cum_cost,stats.max_cost,stats.cum_n_token_agent_messages,stats.max_n_token_agent_messages,stats.cum_step_elapsed,stats.max_step_elapsed,stats.cum_agent_elapsed,stats.max_agent_elapsed,terminated,truncated,err_key
webmall.Webmall_Add_To_Cart_Task1,GenericAgent-gpt-4.1-2025-04-14,webmall,0,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_15-38-24_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-26_15-38-27_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task1_8,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,8,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task1_8,True,,,33,10,20,06f3153f-954a-4d4b-8016-b2af329e858c,(),True,False,17,1.0,0,18,6902,406,416,56,17,1,188,18,41,41,705443,141525,54370,6886,278311,29675,17,1,0.0,0.0,0,0,313416,31577,1594,138,0.639584,0.063698,313261,31395,130.07300066947937,10.626167297363281,107.74755692481995,26.325093984603882,True,False,
webmall.Webmall_Add_To_Cart_Task2,GenericAgent-gpt-4.1-2025-04-14,webmall,1,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_15-38-24_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-26_15-38-27_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task2_25,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,25,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task2_25,True,,,34,10,20,54799593-7c14-4b3d-a271-fc5f7f9dcf5d,(),True,False,21,0.9,0,22,8631,411,626,56,21,1,364,118,65,24,1003670,141503,71627,6898,376220,29681,21,1,0.0,0.0,0,0,426593,31734,2603,333,0.87401,0.064148,427445,31570,185.1808512210846,24.598344802856445,173.5635166168213,33.489800214767456,True,False,
webmall.Webmall_Add_To_Cart_Task3,GenericAgent-gpt-4.1-2025-04-14,webmall,2,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_15-38-24_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-26_15-38-27_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task3_1,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,1,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task3_1,True,,,35,10,20,7bfd5fc0-11cd-4697-986b-c8a95f998af8,(),True,False,20,0.9,0,21,8020,401,443,60,20,1,308,130,65,41,612679,58953,54636,6880,274207,29672,20,1,0.0,0.0,0,0,323989,32040,2380,345,0.6670179999999999,0.064672,324760,31865,158.2021026611328,11.466215133666992,116.250079870224,15.758774757385254,True,False,
webmall.Webmall_Add_To_Cart_Task4,GenericAgent-gpt-4.1-2025-04-14,webmall,3,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_15-38-24_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-26_15-38-27_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task4_19,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,19,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task4_19,True,,,36,10,20,4a46dec2-f528-4519-ac40-959300cb50d5,(),True,False,50,1.0,0,51,20400,408,1175,72,50,1,376,25,455,41,926114,64843,72007,6890,365267,29677,50,1,0.0,0.0,0,0,564469,32245,4643,201,1.1660819999999998,0.06512199999999999,568030,32080,344.0512900352478,11.147710084915161,182.76495790481567,19.52750563621521,False,True,
webmall.Webmall_Add_To_Cart_Task5,GenericAgent-gpt-4.1-2025-04-14,webmall,4,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_15-38-24_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-26_15-38-27_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task5_27,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task5_27,True,,,37,10,20,82d1fbc2-1a4c-48c4-8152-664a56f4f128,(),True,False,50,1.0,0,51,20200,404,968,58,50,1,362,95,119,41,871418,157298,63957,6884,321500,29674,50,1,0.0,0.0,0,0,493753,32029,3372,313,1.0144819999999999,0.064722,496996,31878,393.3634123802185,26.22642731666565,150.55288648605347,15.57742953300476,False,True,
webmall.Webmall_Add_To_Cart_Task6,GenericAgent-gpt-4.1-2025-04-14,webmall,5,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_15-38-24_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-26_15-38-27_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task6_6,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,6,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task6_6,True,,,38,10,20,1fb115b2-2ba7-4a94-a201-768f7cf1dcd0,(),True,False,50,1.0,0,51,20600,412,915,57,50,1,490,121,50,24,656280,58936,60516,6876,292637,29670,50,1,0.0,0.0,0,0,503379,31978,5256,333,1.0488060000000001,0.064636,509441,31833,422.74180459976196,24.751455783843994,159.40876626968384,9.306299686431885,False,True,
webmall.Webmall_Add_To_Cart_Task7,GenericAgent-gpt-4.1-2025-04-14,webmall,6,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_15-38-24_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-26_15-38-27_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task7_7,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,7,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task7_7,True,,,39,10,20,d348e164-48b8-4914-a060-212f859efb3f,(),True,False,17,0.8,0,18,6834,402,375,37,17,1,172,17,0,0,617972,58940,49076,6878,258060,29671,17,1,0.0,0.0,0,0,293674,31834,1659,131,0.6006199999999999,0.064332,293980,31670,136.9540560245514,24.81580114364624,98.21216535568237,12.547173500061035,True,False,
webmall.Webmall_Best_Fit_Specific_Task1,GenericAgent-gpt-4.1-2025-04-14,webmall,9,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_15-38-24_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-26_15-38-27_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task1_27,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task1_27,True,,,22,10,20,6aaefb96-9140-402c-9efe-0b600d40dabc,(),True,False,50,0.0,0,51,19300,386,1070,62,50,1,463,104,445,72,1515603,58948,111956,6870,695356,29750,50,1,0.0,0.0,0,0,891144,34187,4893,276,1.821432,0.06939,892000,34119,367.983683347702,11.755962133407593,265.35314083099365,32.519240379333496,False,True,
webmall.Webmall_Best_Fit_Specific_Task10,GenericAgent-gpt-4.1-2025-04-14,webmall,7,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_15-38-24_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-26_15-38-27_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task10_24,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,24,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task10_24,True,,,31,10,20,78d9ff13-0058-4326-bbfa-b6464644ee9c,(),True,False,25,1.0,0,26,10150,406,632,66,25,1,378,134,67,67,981592,75573,114650,7926,524770,40197,25,1,0.0,0.0,0,0,613227,45670,5023,414,1.266638,0.09434,615689,45844,203.39280819892883,20.72977066040039,202.8391773700714,14.692076444625854,True,False,
webmall.Webmall_Best_Fit_Specific_Task11,GenericAgent-gpt-4.1-2025-04-14,webmall,8,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-26_15-38-24_genericagent-gpt-4-1-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-26_15-38-27_GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task11_13,gpt-4.1-2025-04-14,1047576,1047576,32768,0.1,True,False,True,False,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,13,50,True,False,False,,,,,GenericAgent-gpt-4.1-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task11_13,True,,,32,10,20,8dad806f-915c-4c2c-b5f7-45c5b31db836,(),True,False,50,0.0,0,51,19650,393,2236,62,50,1,362,61,166,70,2233736,59523,190151,7682,987227,33843,50,1,0.0,0.0,0,0,1219985,39909,6608,232,2.492834,0.081066,1222143,39850,369.4510474205017,20.918034315109253,366.51230335235596,31.166163682937622,False,True,
