experiment_id,task_id,goal_description,achieved,weight
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,answer1,False,0.06666666666666667
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,answer2,False,0.06666666666666667
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,answer3,False,0.06666666666666667
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,answer4,False,0.06666666666666667
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,answer5,False,0.06666666666666667
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,answer6,False,0.06666666666666667
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,answer7,False,0.06666666666666667
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,answer8,False,0.06666666666666667
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,answer9,False,0.06666666666666667
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,answer10,False,0.06666666666666667
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,answer11,False,0.06666666666666667
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,answer12,False,0.06666666666666667
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,visit_product_xcase.co.uk_150,False,0.025
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,visit_product_xcase.co.uk_597,False,0.025
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,visit_product_xcase.co.uk_1062,False,0.025
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,visit_product_kovendor.co.uk_448,False,0.025
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,visit_product_kovendor.co.uk_635,False,0.025
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,visit_product_rog.co.uk_130,False,0.025
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,visit_product_rog.co.uk_136,False,0.025
2025-08-21_13-19-48_GenericAgent-gpt-4,1-mini-2025-04-14_on_webmall,visit_product_rog.co.uk_222,False,0.025
