env.task_name,agent.agent_name,env.benchmark,index,exp_dir,agent.chat_model.model_name,agent.chat_model.max_total_tokens,agent.chat_model.max_input_tokens,agent.chat_model.max_new_tokens,agent.chat_model.temperature,agent.chat_model.vision_support,agent.chat_model.log_probs,agent.flags.obs.use_html,agent.flags.obs.use_ax_tree,agent.flags.obs.use_tabs,agent.flags.obs.use_focused_element,agent.flags.obs.use_error_logs,agent.flags.obs.use_history,agent.flags.obs.use_past_error_logs,agent.flags.obs.use_action_history,agent.flags.obs.use_think_history,agent.flags.obs.use_diff,agent.flags.obs.html_type,agent.flags.obs.use_screenshot,agent.flags.obs.use_som,agent.flags.obs.extract_visible_tag,agent.flags.obs.extract_clickable_tag,agent.flags.obs.extract_coords,agent.flags.obs.filter_visible_elements_only,agent.flags.obs.openai_vision_detail,agent.flags.obs.filter_with_bid_only,agent.flags.obs.filter_som_only,agent.flags.action.action_set.subsets,agent.flags.action.action_set.multiaction,agent.flags.action.action_set.strict,agent.flags.action.action_set.retry_with_force,agent.flags.action.action_set.demo_mode,agent.flags.action.long_description,agent.flags.action.individual_examples,agent.flags.action.multi_actions,agent.flags.action.is_strict,agent.flags.use_plan,agent.flags.use_criticise,agent.flags.use_thinking,agent.flags.use_memory,agent.flags.use_concrete_example,agent.flags.use_abstract_example,agent.flags.use_hints,agent.flags.enable_chat,agent.flags.max_prompt_tokens,agent.flags.be_cautious,agent.flags.extra_instructions,agent.flags.add_missparsed_messages,agent.flags.max_trunc_itr,agent.flags.flag_group,agent.max_retry,env.task_seed,env.max_steps,env.headless,env.record_video,env.wait_for_user_message,env.viewport,env.slow_mo,env.storage_state,env.task_kwargs,exp_name,enable_debug,err_msg,stack_trace,order,logging_level,logging_level_stdout,exp_id,depends_on,save_screenshot,save_som,n_steps,cum_reward,cum_raw_reward,stats.cum_steps,stats.cum_n_token_goal,stats.max_n_token_goal,stats.cum_n_token_url,stats.max_n_token_url,stats.cum_n_token_focused_element_bid,stats.max_n_token_focused_element_bid,stats.cum_n_token_last_action,stats.max_n_token_last_action,stats.cum_n_token_last_action_error,stats.max_n_token_last_action_error,stats.cum_n_token_dom_txt,stats.max_n_token_dom_txt,stats.cum_n_token_axtree_txt,stats.max_n_token_axtree_txt,stats.cum_n_token_pruned_html,stats.max_n_token_pruned_html,stats.cum_n_retry_llm,stats.max_n_retry_llm,stats.cum_n_retry,stats.max_n_retry,stats.cum_busted_retry,stats.max_busted_retry,stats.cum_input_tokens,stats.max_input_tokens,stats.cum_output_tokens,stats.max_output_tokens,stats.cum_cost,stats.max_cost,stats.cum_n_token_agent_messages,stats.max_n_token_agent_messages,stats.cum_step_elapsed,stats.max_step_elapsed,stats.cum_agent_elapsed,stats.max_agent_elapsed,terminated,truncated,err_key
webmall.Webmall_Add_To_Cart_Task1,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,0,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-06_14-45-53_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-06_14-45-57_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task1_8,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,8,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task1_8,True,,,33,10,20,fe3db52c-fbd8-4638-8fe6-016c596bc6f6,(),True,False,18,0.4,0,19,7308,406,378,56,18,1,224,39,0,0,711669,141517,56102,6886,286183,29675,18,1,0.0,0.0,0,0,63195,4262,1541,194,0.027743600000000004,0.0018228,37960,2847,80.46187615394592,8.281232118606567,63.96233892440796,6.132413864135742,True,False,
webmall.Webmall_Add_To_Cart_Task2,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,1,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-06_14-45-53_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-06_14-45-57_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task2_25,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,25,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task2_25,True,,,34,10,20,b016b353-7d3a-4c6a-999b-dbebd2476dac,(),True,False,26,1.0,0,27,10686,411,894,56,26,1,354,118,40,8,1258001,141489,92176,6898,475013,29681,26,1,1.0,1.0,0,0,106629,8750,2691,317,0.046957200000000004,0.0037400000000000003,66358,4064,117.50259470939636,9.698076963424683,84.21860766410828,5.693456649780273,True,False,
webmall.Webmall_Add_To_Cart_Task3,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,2,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-06_14-45-53_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-06_14-45-57_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task3_1,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,1,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task3_1,True,,,35,10,20,157948d2-3fac-4fc5-9175-4508f10daf9d,(),True,False,20,0.9,0,21,8020,401,443,60,20,1,305,126,41,41,612646,58966,54632,6880,274205,29672,20,1,0.0,0.0,0,0,74806,4934,1925,324,0.0330024,0.0023604000000000003,46990,3461,90.11692595481873,8.515852451324463,61.50874710083008,6.578398942947388,True,False,
webmall.Webmall_Add_To_Cart_Task4,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,36,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-06_14-45-53_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-06_14-45-58_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task4_19,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,19,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task4_19,True,,,36,10,20,56ec0594-754a-439e-8388-095bdeae8c1d,(),True,False,50,1.0,0,51,20400,408,1060,72,50,1,561,42,851,92,2592756,157570,127448,6890,764342,29677,50,1,1.0,1.0,0,0,262231,11718,4717,207,0.11243960000000001,0.0048824,186731,6197,187.87375354766846,8.558974742889404,163.55874633789062,8.133741855621338,False,True,
webmall.Webmall_Add_To_Cart_Task5,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,37,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-06_14-45-53_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-06_14-45-58_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task5_27,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task5_27,True,,,37,10,20,1b5424b1-7ccb-4029-af87-fcdcb0cbac58,(),True,False,28,1.0,0,29,11312,404,666,58,28,1,347,120,77,77,856669,58983,102419,7151,446754,29674,28,1,0.0,0.0,0,0,115722,5641,2477,264,0.050252000000000005,0.0025008,77276,4213,119.16968393325806,9.890820264816284,73.06577038764954,5.553353786468506,True,False,
webmall.Webmall_Add_To_Cart_Task6,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,38,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-06_14-45-53_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-06_14-45-58_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task6_6,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,6,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task6_6,True,,,38,10,20,ce436488-6463-4f3f-acac-ebbed9f4a5e5,(),True,False,50,1.0,0,51,20600,412,1420,57,50,1,1529,76,41,41,1856817,61532,143866,6894,718788,29679,50,1,20.0,1.0,0,0,404128,17065,5679,233,0.17073760000000002,0.0070516,196222,7228,184.74389624595642,7.865837097167969,181.29292631149292,8.240755558013916,False,True,
webmall.Webmall_Add_To_Cart_Task7,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,39,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-06_14-45-53_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-06_14-45-58_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task7_7,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,7,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task7_7,True,,,39,10,20,e7fab3fa-11d2-41ee-b264-bb18e4afe6d3,(),True,False,20,0.5,0,21,8040,402,444,64,20,1,244,69,0,0,632762,58926,50992,6878,267227,29671,20,1,0.0,0.0,0,0,71288,4469,1507,152,0.030926400000000003,0.001968,43090,3057,80.92586517333984,6.890630006790161,56.21525025367737,5.709057569503784,True,False,
webmall.Webmall_Best_Fit_Specific_Task1,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,5,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-06_14-45-53_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-06_14-45-57_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task1_27,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task1_27,True,,,22,10,20,047f217b-557a-4fb6-8c7d-d9575cf74202,(),True,False,22,0.4,0,23,8492,386,269,36,22,1,198,40,48,24,443496,58956,29105,4809,181736,29670,22,1,0.0,0.0,0,0,79357,4471,1469,134,0.0340932,0.0019076000000000002,48191,3003,169.95386958122253,12.847402811050415,66.54082822799683,8.149227380752563,True,False,
webmall.Webmall_Best_Fit_Specific_Task10,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,3,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-06_14-45-53_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-06_14-45-57_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task10_24,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,24,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task10_24,True,,,31,10,20,6ebef4a4-35c4-42d5-9c63-61c2629b5943,(),True,False,50,0.0,0,51,20300,406,1084,72,50,1,294,26,413,72,1772264,73125,174464,7926,823040,37574,50,1,0.0,0.0,0,0,259886,7379,4234,154,0.1107288,0.0031132000000000004,190635,6024,314.9700770378113,11.403477907180786,165.06167721748352,8.000869989395142,False,True,
webmall.Webmall_Best_Fit_Specific_Task11,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,4,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-06_14-45-53_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-06_14-45-57_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task11_13,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,13,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task11_13,True,,,32,10,20,2272356e-7a94-4108-a2b1-09ed2b99fb64,(),True,False,16,0.0,0,17,6288,393,285,36,16,1,160,17,0,0,535762,58930,48356,6874,247771,29669,16,1,0.0,0.0,0,0,53170,3900,1111,150,0.0230456,0.0016892,30533,2429,75.25281071662903,9.157362937927246,52.29731488227844,4.973342180252075,True,False,
