experiment_id,task_id,goal_description,achieved,weight
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer1,False,0.2
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer2,False,0.2
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer3,True,0.2
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,answer4,True,0.2
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_xcase.co.uk_100,True,0.02
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_xcase.co.uk_116,False,0.02
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_xcase.co.uk_356,True,0.02
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_xcase.co.uk_1098,False,0.02
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_memorysmithcomputing.uk_165,False,0.02
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_memorysmithcomputing.uk_286,False,0.02
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_memorysmithcomputing.uk_378,True,0.02
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_memorysmithcomputing.uk_421,False,0.02
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_kovendor.co.uk_131,False,0.02
2025-08-31_15-24-21_GenericAgent-gpt-4,1-2025-04-14_on_webmall,visit_product_rog.co.uk_166,False,0.02
