env.task_name,agent.agent_name,env.benchmark,index,exp_dir,agent.chat_model.model_name,agent.chat_model.max_total_tokens,agent.chat_model.max_input_tokens,agent.chat_model.max_new_tokens,agent.chat_model.temperature,agent.chat_model.vision_support,agent.chat_model.log_probs,agent.flags.obs.use_html,agent.flags.obs.use_ax_tree,agent.flags.obs.use_tabs,agent.flags.obs.use_focused_element,agent.flags.obs.use_error_logs,agent.flags.obs.use_history,agent.flags.obs.use_past_error_logs,agent.flags.obs.use_action_history,agent.flags.obs.use_think_history,agent.flags.obs.use_diff,agent.flags.obs.html_type,agent.flags.obs.use_screenshot,agent.flags.obs.use_som,agent.flags.obs.extract_visible_tag,agent.flags.obs.extract_clickable_tag,agent.flags.obs.extract_coords,agent.flags.obs.filter_visible_elements_only,agent.flags.obs.openai_vision_detail,agent.flags.obs.filter_with_bid_only,agent.flags.obs.filter_som_only,agent.flags.action.action_set.subsets,agent.flags.action.action_set.multiaction,agent.flags.action.action_set.strict,agent.flags.action.action_set.retry_with_force,agent.flags.action.action_set.demo_mode,agent.flags.action.long_description,agent.flags.action.individual_examples,agent.flags.action.multi_actions,agent.flags.action.is_strict,agent.flags.use_plan,agent.flags.use_criticise,agent.flags.use_thinking,agent.flags.use_memory,agent.flags.use_concrete_example,agent.flags.use_abstract_example,agent.flags.use_hints,agent.flags.enable_chat,agent.flags.max_prompt_tokens,agent.flags.be_cautious,agent.flags.extra_instructions,agent.flags.add_missparsed_messages,agent.flags.max_trunc_itr,agent.flags.flag_group,agent.max_retry,env.task_seed,env.max_steps,env.headless,env.record_video,env.wait_for_user_message,env.viewport,env.slow_mo,env.storage_state,env.task_kwargs,exp_name,enable_debug,err_msg,stack_trace,order,logging_level,logging_level_stdout,exp_id,depends_on,save_screenshot,save_som,n_steps,cum_reward,cum_raw_reward,stats.cum_steps,stats.cum_n_token_goal,stats.max_n_token_goal,stats.cum_n_token_url,stats.max_n_token_url,stats.cum_n_token_focused_element_bid,stats.max_n_token_focused_element_bid,stats.cum_n_token_last_action,stats.max_n_token_last_action,stats.cum_n_token_last_action_error,stats.max_n_token_last_action_error,stats.cum_n_token_dom_txt,stats.max_n_token_dom_txt,stats.cum_n_token_axtree_txt,stats.max_n_token_axtree_txt,stats.cum_n_token_pruned_html,stats.max_n_token_pruned_html,stats.cum_n_retry_llm,stats.max_n_retry_llm,stats.cum_n_retry,stats.max_n_retry,stats.cum_busted_retry,stats.max_busted_retry,stats.cum_input_tokens,stats.max_input_tokens,stats.cum_output_tokens,stats.max_output_tokens,stats.cum_cost,stats.max_cost,stats.cum_n_token_agent_messages,stats.max_n_token_agent_messages,stats.cum_step_elapsed,stats.max_step_elapsed,stats.cum_agent_elapsed,stats.max_agent_elapsed,terminated,truncated,err_key
webmall.Webmall_Add_To_Cart_Task1,GenericAgent-gpt-4o-mini-2024-07-18,webmall,0,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_10-36-39_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-12_10-36-45_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task1_8,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,8,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task1_8,True,,,33,10,20,f9cef63b-e575-4d1e-9e9e-851fa16d28e5,(),True,False,17,1.0,0,18,6902,406,416,56,17,1,265,84,0,0,705699,141502,54703,6886,278721,29675,17,1,0.0,0.0,0,0,712970,45642,1331,152,0.1077441,0.0068835,88427,8912,67.26085329055786,8.268277406692505,85.00575184822083,13.770385265350342,True,False,
webmall.Webmall_Add_To_Cart_Task2,GenericAgent-gpt-4o-mini-2024-07-18,webmall,1,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_10-36-39_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-12_10-36-45_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task2_25,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,25,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task2_25,True,,,34,10,20,f17a912f-1632-486b-935c-36c6c7aaaff8,(),True,False,18,0.9,0,19,7398,411,458,56,18,1,361,78,41,41,745499,141474,55106,6898,284080,29681,18,1,0.0,0.0,0,0,754829,45765,1663,155,0.11422215,0.006906149999999999,93861,9043,70.43920254707336,8.19235634803772,65.35787391662598,5.361403942108154,True,False,
webmall.Webmall_Add_To_Cart_Task3,GenericAgent-gpt-4o-mini-2024-07-18,webmall,2,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_10-36-39_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-12_10-36-45_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task3_1,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,1,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task3_1,True,,,35,10,20,423acc4e-3c35-4a5b-b7cf-af4165748ed4,(),True,False,50,0.9,0,51,20050,401,1629,60,50,1,2427,65,479,24,2380910,58923,172298,6880,836495,29672,50,1,0.0,0.0,0,0,2221539,47927,6330,158,0.33702884999999994,0.00727665,386869,11251,160.33511590957642,11.857680320739746,232.33112120628357,8.872815132141113,False,True,
webmall.Webmall_Add_To_Cart_Task4,GenericAgent-gpt-4o-mini-2024-07-18,webmall,3,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_10-36-39_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-12_10-36-45_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task4_19,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,19,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task4_19,True,,,36,10,20,d1a1eb82-042c-41d6-b847-bb7aca00d4fc,(),True,False,50,0.6000000000000001,0,51,20400,408,967,72,50,1,2199,58,72,24,628239,59819,59097,6882,272234,29673,50,1,0.0,0.0,0,0,2098194,45627,5828,147,0.31822589999999995,0.00687825,263246,8900,294.7893304824829,16.200668334960938,203.9062798023224,9.929499864578247,False,True,
webmall.Webmall_Add_To_Cart_Task5,GenericAgent-gpt-4o-mini-2024-07-18,webmall,4,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_10-36-39_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-12_10-36-45_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task5_27,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task5_27,True,,,37,10,20,d84f7e97-90c9-4926-ac60-1d414bf9059b,(),True,False,24,1.0,0,25,9696,404,577,58,24,1,705,66,89,41,634692,58921,56960,6884,285997,29674,24,1,0.0,0.0,0,0,994212,45596,2216,138,0.1504614,0.0068736,113326,8879,151.01232624053955,10.673702001571655,100.0076231956482,9.976259469985962,True,False,
webmall.Webmall_Add_To_Cart_Task6,GenericAgent-gpt-4o-mini-2024-07-18,webmall,5,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_10-36-39_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-12_10-36-45_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task6_6,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,6,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task6_6,True,,,38,10,20,baac5fd4-b2eb-4f52-8005-1ebec7740d32,(),True,False,22,1.0,0,23,9064,412,609,57,22,1,359,70,72,24,849648,61488,80126,6898,393155,29685,22,1,0.0,0.0,0,0,938292,46450,1921,146,0.1418964,0.0070125,130728,9762,155.6851544380188,13.214095115661621,85.88726210594177,7.7035369873046875,True,False,
webmall.Webmall_Add_To_Cart_Task7,GenericAgent-gpt-4o-mini-2024-07-18,webmall,6,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_10-36-39_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-12_10-36-45_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task7_7,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,7,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task7_7,True,,,39,10,20,b4262a70-537d-4caf-9f86-9405032da636,(),True,False,17,0.8,0,18,6834,402,375,37,17,1,227,62,24,24,617914,58945,49186,6878,258159,29671,17,1,0.0,0.0,0,0,707538,45720,1366,138,0.10695029999999998,0.006893399999999999,83028,8989,117.6619234085083,15.576832294464111,61.29625391960144,8.835980415344238,True,False,
webmall.Webmall_Best_Fit_Specific_Task1,GenericAgent-gpt-4o-mini-2024-07-18,webmall,9,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_10-36-39_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-12_10-36-45_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task1_27,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task1_27,True,,,22,10,20,2400799c-06e2-4710-bf17-9b138aaa05c6,(),True,False,44,0.4,0,45,16984,386,719,36,44,1,1389,40,24,24,536754,58931,49562,6876,237961,29670,44,1,0.0,0.0,0,0,1828057,45583,4971,126,0.27719115,0.006887849999999999,212647,8876,146.61281275749207,7.694570302963257,172.21037316322327,7.633411645889282,True,False,
webmall.Webmall_Best_Fit_Specific_Task10,GenericAgent-gpt-4o-mini-2024-07-18,webmall,7,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_10-36-39_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-12_10-36-45_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task10_24,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,24,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task10_24,True,,,31,10,20,c53a89c4-9f65-4d58-9adc-1518cf3b87af,(),True,False,20,0.0,0,21,8120,406,435,29,20,1,227,32,0,0,622055,58944,78277,6868,353187,29666,20,1,0.0,0.0,0,0,856528,45570,1800,133,0.12955919999999999,0.0068679,122348,8848,77.78308010101318,7.034661054611206,83.64721965789795,6.009288549423218,True,False,
webmall.Webmall_Best_Fit_Specific_Task11,GenericAgent-gpt-4o-mini-2024-07-18,webmall,8,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_10-36-39_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-12_10-36-45_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task11_13,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,13,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task11_13,True,,,32,10,20,db712a29-7132-48ac-bfc1-5e99548bce7b,(),True,False,50,0.0,0,51,19650,393,1494,36,50,1,428,17,481,13,2392581,58911,168672,6874,829652,29669,50,1,0.0,0.0,0,0,2178184,45751,4126,96,0.32920320000000003,0.0069136499999999995,341470,9018,122.96069931983948,7.382542848587036,192.01317238807678,7.365199565887451,False,True,
