env.task_name,agent.agent_name,env.benchmark,index,exp_dir,agent.chat_model.model_name,agent.chat_model.max_total_tokens,agent.chat_model.max_input_tokens,agent.chat_model.max_new_tokens,agent.chat_model.temperature,agent.chat_model.vision_support,agent.chat_model.log_probs,agent.flags.obs.use_html,agent.flags.obs.use_ax_tree,agent.flags.obs.use_tabs,agent.flags.obs.use_focused_element,agent.flags.obs.use_error_logs,agent.flags.obs.use_history,agent.flags.obs.use_past_error_logs,agent.flags.obs.use_action_history,agent.flags.obs.use_think_history,agent.flags.obs.use_diff,agent.flags.obs.html_type,agent.flags.obs.use_screenshot,agent.flags.obs.use_som,agent.flags.obs.extract_visible_tag,agent.flags.obs.extract_clickable_tag,agent.flags.obs.extract_coords,agent.flags.obs.filter_visible_elements_only,agent.flags.obs.openai_vision_detail,agent.flags.obs.filter_with_bid_only,agent.flags.obs.filter_som_only,agent.flags.action.action_set.subsets,agent.flags.action.action_set.multiaction,agent.flags.action.action_set.strict,agent.flags.action.action_set.retry_with_force,agent.flags.action.action_set.demo_mode,agent.flags.action.long_description,agent.flags.action.individual_examples,agent.flags.action.multi_actions,agent.flags.action.is_strict,agent.flags.use_plan,agent.flags.use_criticise,agent.flags.use_thinking,agent.flags.use_memory,agent.flags.use_concrete_example,agent.flags.use_abstract_example,agent.flags.use_hints,agent.flags.enable_chat,agent.flags.max_prompt_tokens,agent.flags.be_cautious,agent.flags.extra_instructions,agent.flags.add_missparsed_messages,agent.flags.max_trunc_itr,agent.flags.flag_group,agent.max_retry,env.task_seed,env.max_steps,env.headless,env.record_video,env.wait_for_user_message,env.viewport,env.slow_mo,env.storage_state,env.task_kwargs,exp_name,enable_debug,err_msg,stack_trace,order,logging_level,logging_level_stdout,exp_id,depends_on,save_screenshot,save_som,n_steps,cum_reward,cum_raw_reward,stats.cum_steps,stats.cum_n_token_goal,stats.max_n_token_goal,stats.cum_n_token_url,stats.max_n_token_url,stats.cum_n_token_focused_element_bid,stats.max_n_token_focused_element_bid,stats.cum_n_token_last_action,stats.max_n_token_last_action,stats.cum_n_token_last_action_error,stats.max_n_token_last_action_error,stats.cum_n_token_dom_txt,stats.max_n_token_dom_txt,stats.cum_n_token_axtree_txt,stats.max_n_token_axtree_txt,stats.cum_n_token_pruned_html,stats.max_n_token_pruned_html,stats.cum_n_retry_llm,stats.max_n_retry_llm,stats.cum_n_retry,stats.max_n_retry,stats.cum_busted_retry,stats.max_busted_retry,stats.cum_input_tokens,stats.max_input_tokens,stats.cum_output_tokens,stats.max_output_tokens,stats.cum_cost,stats.max_cost,stats.cum_n_token_agent_messages,stats.max_n_token_agent_messages,stats.cum_step_elapsed,stats.max_step_elapsed,stats.cum_agent_elapsed,stats.max_agent_elapsed,terminated,truncated,err_key
webmall.Webmall_Add_To_Cart_Task1,GenericAgent-gpt-4o-mini-2024-07-18,webmall,22,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-07_09-49-45_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-07_09-49-52_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task1_8,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,8,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task1_8,True,,,33,10,20,44b03eed-bc51-45eb-80e2-bd4f81cb9404,(),True,False,50,1.0,0,51,20300,406,1714,56,50,1,2775,80,144,103,2434184,141516,180321,6886,870713,29675,50,1,0.0,0.0,0,0,2050769,44938,6805,179,0.31169834999999996,0.0068409,215168,8216,162.83080077171326,9.09965443611145,218.6806879043579,7.899450778961182,False,True,
webmall.Webmall_Add_To_Cart_Task2,GenericAgent-gpt-4o-mini-2024-07-18,webmall,23,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-07_09-49-45_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-07_09-49-52_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task2_25,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,25,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task2_25,True,,,34,10,20,a00010fa-6feb-49f8-90ae-c606e17d786a,(),True,False,50,0.6000000000000001,0,51,20550,411,979,56,50,1,2787,78,0,0,800292,130898,69486,6898,317036,29681,50,1,0.0,0.0,0,0,2036669,44028,5899,141,0.30903975000000006,0.0066857999999999996,202132,7400,196.46985173225403,12.643425226211548,238.8690881729126,12.856332063674927,False,True,
webmall.Webmall_Add_To_Cart_Task3,GenericAgent-gpt-4o-mini-2024-07-18,webmall,24,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-07_09-49-45_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-07_09-49-52_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task3_1,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,1,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task3_1,True,,,35,10,20,5ffdb42b-7aca-488f-ad35-0e0f6a4e1a8d,(),True,False,50,0.6000000000000001,0,51,20050,401,955,64,50,1,2349,64,5134,151,646312,58954,59678,6880,285242,29672,50,1,0.0,0.0,0,0,2044154,44243,5968,163,0.31020390000000003,0.00671745,209146,7562,187.11149168014526,6.959367752075195,185.0466389656067,7.336700439453125,False,True,
webmall.Webmall_Add_To_Cart_Task4,GenericAgent-gpt-4o-mini-2024-07-18,webmall,25,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-07_09-49-45_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-07_09-49-52_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task4_19,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,19,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task4_19,True,,,36,10,20,ba35b814-add7-468f-bef7-e7ef06e2fd1f,(),True,False,50,0.2,0,51,20400,408,2791,72,50,1,300,17,0,0,2692148,59809,200825,6882,1004124,29673,50,1,0.0,0.0,0,0,2007193,42569,4291,104,0.30365354999999994,0.00644055,169800,5828,201.02664351463318,10.761728525161743,229.8436300754547,13.4500412940979,False,True,
webmall.Webmall_Add_To_Cart_Task5,GenericAgent-gpt-4o-mini-2024-07-18,webmall,26,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-07_09-49-45_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-07_09-49-52_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task5_27,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task5_27,True,,,37,10,20,572143a5-07ce-4c1a-b0fa-a2a40aa96d95,(),True,False,50,1.0,0,51,20200,404,967,58,50,1,2425,66,5202,153,654044,58940,59681,6884,291366,29674,50,1,0.0,0.0,0,0,2034455,43803,5515,139,0.30847725,0.00664545,201189,7224,190.64870071411133,11.307225942611694,209.25379061698914,10.278151988983154,False,True,
webmall.Webmall_Add_To_Cart_Task6,GenericAgent-gpt-4o-mini-2024-07-18,webmall,27,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-07_09-49-45_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-07_09-49-52_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task6_6,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,6,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task6_6,True,,,38,10,20,4b19df0d-694a-4e04-909d-413aeb9fb944,(),True,False,50,0.5,0,51,20600,412,874,57,50,1,2457,70,108,108,841685,141322,77117,6898,365917,29685,50,1,0.0,0.0,0,0,2045081,44493,6379,150,0.31058955,0.0067639499999999995,211353,7867,192.70788979530334,8.397970914840698,209.3652491569519,7.774341106414795,False,True,
webmall.Webmall_Add_To_Cart_Task7,GenericAgent-gpt-4o-mini-2024-07-18,webmall,28,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-07_09-49-45_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-07_09-49-52_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task7_7,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,7,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Add_To_Cart_Task7_7,True,,,39,10,20,6e6fa842-495c-4d04-b932-1a5d9a47f061,(),True,False,50,0.5,0,51,20100,402,1613,64,50,1,423,17,429,13,2409467,58949,168394,6878,828029,29671,50,1,0.0,0.0,0,0,2008476,42622,4416,112,0.303921,0.0064521,171330,5890,157.80190205574036,10.217992067337036,176.69165873527527,6.0129075050354,False,True,
webmall.Webmall_Best_Fit_Specific_Task1,GenericAgent-gpt-4o-mini-2024-07-18,webmall,31,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-07_09-49-45_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-07_09-49-52_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task1_27,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task1_27,True,,,22,10,20,00aa5e46-b646-4fc1-8ae6-6313e9a13aeb,(),True,False,50,0.0,0,51,19300,386,1895,62,50,1,2184,67,563,98,1473711,58935,163718,6876,739987,29670,50,1,0.0,0.0,0,0,2028018,43527,5416,141,0.3074523,0.00660645,191883,6827,276.9776620864868,10.996062517166138,191.3900797367096,10.641000509262085,False,True,
webmall.Webmall_Best_Fit_Specific_Task10,GenericAgent-gpt-4o-mini-2024-07-18,webmall,29,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-07_09-49-45_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-07_09-49-52_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task10_24,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,24,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task10_24,True,,,31,10,20,8abcb07e-7464-49c1-9269-a9062a11be8f,(),True,False,50,0.0,0,51,20300,406,1064,28,50,1,922,29,1268,94,1922645,59540,231682,7890,1040449,33567,50,1,0.0,0.0,0,0,2031696,43326,5157,139,0.3078486,0.0065642999999999995,197008,6673,210.0821213722229,9.306400775909424,194.39732813835144,11.718299388885498,False,True,
webmall.Webmall_Best_Fit_Specific_Task11,GenericAgent-gpt-4o-mini-2024-07-18,webmall,30,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-07_09-49-45_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-07_09-49-52_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task11_13,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,13,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task11_13,True,,,32,10,20,c3a11b7f-d60b-4d72-8e42-c3117a58b913,(),True,False,50,0.0,0,51,19650,393,1356,36,50,1,523,20,2891,98,2380948,58930,174805,6851,874353,29669,50,1,0.0,0.0,0,0,2008050,42402,4117,93,0.3036777,0.006411899999999999,170831,5664,192.56869339942932,8.298779010772705,164.3573558330536,4.8406219482421875,False,True,
webmall.Webmall_Best_Fit_Specific_Task2,GenericAgent-gpt-4o-mini-2024-07-18,webmall,32,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-07_09-49-45_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-07_09-49-52_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task2_15,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,15,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task2_15,True,,,23,10,20,88abbcd3-f0b2-473c-b4f5-8b494dc77217,(),True,False,50,0.0,0,51,18900,378,1429,31,50,1,244,17,283,95,1881351,58936,184475,4801,1092201,29666,50,1,0.0,0.0,0,0,1990024,41668,3485,80,0.3005946,0.006294,151805,4907,252.45939016342163,9.300396919250488,159.33835768699646,14.220009088516235,False,True,
webmall.Webmall_Best_Fit_Specific_Task3,GenericAgent-gpt-4o-mini-2024-07-18,webmall,33,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-07_09-49-45_genericagent-gpt-4o-mini-2024-07-18-on-webmall-basic-v0-7-ax/2025-08-07_09-49-52_GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task3_14,gpt-4o-mini-2024-07-18,128000,128000,16384,0.1,True,False,False,False,True,True,True,True,False,True,True,False,pruned_html,True,True,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,False,True,True,True,False,60000,True,,True,20,,4,14,50,True,False,False,,,,,GenericAgent-gpt-4o-mini-2024-07-18_on_webmall.Webmall_Best_Fit_Specific_Task3_14,True,,,24,10,20,402b8efd-74bc-46a5-bfb3-d5b1cdd711ed,(),True,False,50,0.0,0,51,19550,391,1358,35,50,1,3783,113,4637,144,2468606,58932,189873,6878,927621,29671,50,1,0.0,0.0,0,0,2052016,45087,6836,172,0.311904,0.006865649999999999,217518,8434,193.19887781143188,10.668729305267334,210.9988236427307,12.055834531784058,False,True,
