env.task_name,agent.agent_name,env.benchmark,index,exp_dir,agent.chat_model.model_name,agent.chat_model.max_total_tokens,agent.chat_model.max_input_tokens,agent.chat_model.max_new_tokens,agent.chat_model.temperature,agent.chat_model.vision_support,agent.chat_model.log_probs,agent.flags.obs.use_html,agent.flags.obs.use_ax_tree,agent.flags.obs.use_tabs,agent.flags.obs.use_focused_element,agent.flags.obs.use_error_logs,agent.flags.obs.use_history,agent.flags.obs.use_past_error_logs,agent.flags.obs.use_action_history,agent.flags.obs.use_think_history,agent.flags.obs.use_diff,agent.flags.obs.html_type,agent.flags.obs.use_screenshot,agent.flags.obs.use_som,agent.flags.obs.extract_visible_tag,agent.flags.obs.extract_clickable_tag,agent.flags.obs.extract_coords,agent.flags.obs.filter_visible_elements_only,agent.flags.obs.openai_vision_detail,agent.flags.obs.filter_with_bid_only,agent.flags.obs.filter_som_only,agent.flags.action.action_set.subsets,agent.flags.action.action_set.multiaction,agent.flags.action.action_set.strict,agent.flags.action.action_set.retry_with_force,agent.flags.action.action_set.demo_mode,agent.flags.action.long_description,agent.flags.action.individual_examples,agent.flags.action.multi_actions,agent.flags.action.is_strict,agent.flags.use_plan,agent.flags.use_criticise,agent.flags.use_thinking,agent.flags.use_memory,agent.flags.use_concrete_example,agent.flags.use_abstract_example,agent.flags.use_hints,agent.flags.enable_chat,agent.flags.max_prompt_tokens,agent.flags.be_cautious,agent.flags.extra_instructions,agent.flags.add_missparsed_messages,agent.flags.max_trunc_itr,agent.flags.flag_group,agent.max_retry,env.task_seed,env.max_steps,env.headless,env.record_video,env.wait_for_user_message,env.viewport,env.slow_mo,env.storage_state,env.task_kwargs,exp_name,enable_debug,err_msg,stack_trace,order,logging_level,logging_level_stdout,exp_id,depends_on,save_screenshot,save_som,n_steps,cum_reward,cum_raw_reward,stats.cum_steps,stats.cum_n_token_goal,stats.max_n_token_goal,stats.cum_n_token_url,stats.max_n_token_url,stats.cum_n_token_focused_element_bid,stats.max_n_token_focused_element_bid,stats.cum_n_token_last_action,stats.max_n_token_last_action,stats.cum_n_token_last_action_error,stats.max_n_token_last_action_error,stats.cum_n_token_dom_txt,stats.max_n_token_dom_txt,stats.cum_n_token_axtree_txt,stats.max_n_token_axtree_txt,stats.cum_n_token_pruned_html,stats.max_n_token_pruned_html,stats.cum_n_retry_llm,stats.max_n_retry_llm,stats.cum_n_retry,stats.max_n_retry,stats.cum_busted_retry,stats.max_busted_retry,stats.cum_input_tokens,stats.max_input_tokens,stats.cum_output_tokens,stats.max_output_tokens,stats.cum_cost,stats.max_cost,stats.cum_n_token_agent_messages,stats.max_n_token_agent_messages,stats.cum_step_elapsed,stats.max_step_elapsed,stats.cum_agent_elapsed,stats.max_agent_elapsed,terminated,truncated,err_key
webmall.Webmall_Add_To_Cart_Task1,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,19,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_16-44-20_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-12_16-44-26_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task1_8,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,True,True,True,True,False,60000,True,Use your memory to note down important information like the URLs of potential solutions and corresponding pricing information.,True,20,,4,8,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task1_8,True,,,33,10,20,63767e16-5efb-49bd-be49-d66462878206,(),True,False,22,1.0,0,23,8932,406,484,56,22,1,301,105,0,0,738736,141508,59645,6886,298287,29675,22,1,0.0,0.0,0,0,113673,9401,2386,418,0.04928679999999999,0.0038740000000000003,116575,9524,95.42393493652344,10.576091289520264,53.84937524795532,8.847130537033081,True,False,
webmall.Webmall_Add_To_Cart_Task2,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,20,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_16-44-20_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-12_16-44-26_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task2_25,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,True,True,True,True,False,60000,True,Use your memory to note down important information like the URLs of potential solutions and corresponding pricing information.,True,20,,4,25,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task2_25,True,,,34,10,20,c8588306-fc24-4ce4-b7ab-e4f7592019bc,(),True,False,17,0.9,0,18,6987,411,443,56,17,1,323,118,65,41,744694,141487,54956,6898,283840,29681,17,1,0.0,0.0,0,0,92828,9195,2044,352,0.04040160000000001,0.0038,95282,9315,76.56593108177185,11.223417043685913,37.27106714248657,4.406521558761597,True,False,
webmall.Webmall_Add_To_Cart_Task3,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,21,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_16-44-20_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-12_16-44-26_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task3_1,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,True,True,True,True,False,60000,True,Use your memory to note down important information like the URLs of potential solutions and corresponding pricing information.,True,20,,4,1,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task3_1,True,,,35,10,20,774c6d40-7c29-4b5e-8f37-d07c0a1796d6,(),True,False,47,0.9,0,48,18847,401,884,60,47,1,596,99,184,67,1690094,61503,99752,6880,600861,29672,47,1,1.0,1.0,0,0,283219,12541,5222,264,0.12164280000000001,0.005379600000000001,282908,9249,200.09364533424377,11.572008609771729,122.04521131515503,5.805813312530518,True,False,
webmall.Webmall_Add_To_Cart_Task4,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,22,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_16-44-20_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-12_16-44-26_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task4_19,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,True,True,True,True,False,60000,True,Use your memory to note down important information like the URLs of potential solutions and corresponding pricing information.,True,20,,4,19,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task4_19,True,,,36,10,20,a7878600-f2f1-4247-bb92-184f35caf238,(),True,False,21,1.0,0,22,8568,408,557,72,21,1,351,150,24,24,662307,64837,54763,6890,283453,29677,21,1,0.0,0.0,0,0,107864,9547,2430,399,0.0470336,0.003934,110879,9677,95.31002593040466,11.176650762557983,48.52451467514038,6.268386125564575,True,False,
webmall.Webmall_Add_To_Cart_Task5,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,23,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_16-44-20_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-12_16-44-26_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task5_27,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,True,True,True,True,False,60000,True,Use your memory to note down important information like the URLs of potential solutions and corresponding pricing information.,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task5_27,True,,,37,10,20,1553fe05-a86b-49c2-a227-0591683af0a5,(),True,False,21,1.0,0,22,8484,404,539,58,21,1,311,120,24,24,682964,58958,57853,6884,298373,29674,21,1,0.0,0.0,0,0,108603,9309,2189,329,0.04694360000000001,0.0038356000000000006,111707,9452,90.08442974090576,9.06662392616272,43.78854990005493,4.553848743438721,True,False,
webmall.Webmall_Add_To_Cart_Task6,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,24,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_16-44-20_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-12_16-44-26_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task6_6,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,True,True,True,True,False,60000,True,Use your memory to note down important information like the URLs of potential solutions and corresponding pricing information.,True,20,,4,6,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task6_6,True,,,38,10,20,2aef7c1f-4b71-4c2a-87f0-7c87e9abb824,(),True,False,21,1.0,0,22,8652,412,494,57,21,1,329,120,24,24,630522,58954,56960,6894,285986,29679,21,1,0.0,0.0,0,0,111052,9663,2077,361,0.047744000000000016,0.0039452,114048,9746,91.08003854751587,8.459132194519043,41.766340017318726,5.817419767379761,True,False,
webmall.Webmall_Add_To_Cart_Task7,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,25,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_16-44-20_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-12_16-44-26_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task7_7,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,True,True,True,True,False,60000,True,Use your memory to note down important information like the URLs of potential solutions and corresponding pricing information.,True,20,,4,7,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Add_To_Cart_Task7_7,True,,,39,10,20,815780a3-a924-43a8-821e-397704a5dace,(),True,False,21,0.8,0,22,8442,402,387,37,21,1,239,62,0,0,618058,58950,49210,6878,258151,29671,21,1,0.0,0.0,0,0,96235,9319,1684,240,0.04118840000000001,0.0038204000000000003,98398,9432,81.85383105278015,6.660847902297974,35.68418478965759,3.5896525382995605,True,False,
webmall.Webmall_Best_Fit_Specific_Task1,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,28,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_16-44-20_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-12_16-44-26_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task1_27,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,True,True,True,True,False,60000,True,Use your memory to note down important information like the URLs of potential solutions and corresponding pricing information.,True,20,,4,27,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task1_27,True,,,22,10,20,538a7055-b10e-4985-854b-f78dab6cfabd,(),True,False,50,0.0,0,51,19300,386,1438,62,50,1,407,32,175,79,1726608,58935,190257,6876,958457,29752,50,1,0.0,0.0,0,0,380731,10851,5100,327,0.16045240000000005,0.0044828,389022,11051,319.14497423171997,10.576883792877197,120.12447333335876,4.492380857467651,False,True,
webmall.Webmall_Best_Fit_Specific_Task10,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,26,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_16-44-20_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-12_16-44-26_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task10_24,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,True,True,True,True,False,60000,True,Use your memory to note down important information like the URLs of potential solutions and corresponding pricing information.,True,20,,4,24,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task10_24,True,,,31,10,20,429aa63a-d0c6-4df8-a7bc-d0055330ccde,(),True,False,50,0.0,0,51,20300,406,1774,72,50,1,265,17,48,24,2067745,58916,230183,6280,1256281,33567,50,1,0.0,0.0,0,0,457007,12042,5791,450,0.19206840000000006,0.004972000000000001,465747,12229,188.02319598197937,9.675003290176392,122.87103748321533,6.31948184967041,False,True,
webmall.Webmall_Best_Fit_Specific_Task11,GenericAgent-gpt-4.1-mini-2025-04-14,webmall,27,/mnt/c/Avani/Master_Thesis_Webmall/WebMall/task_result/2025-08-12_16-44-20_genericagent-gpt-4-1-mini-2025-04-14-on-webmall-basic-v0-7-ax/2025-08-12_16-44-26_GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task11_13,gpt-4.1-mini-2025-04-14,1047576,1047576,32768,0.1,True,False,False,True,True,True,True,True,False,True,True,False,pruned_html,False,False,True,True,False,False,auto,False,False,"('webarena',)",False,False,True,off,False,False,,,False,False,True,True,True,True,True,False,60000,True,Use your memory to note down important information like the URLs of potential solutions and corresponding pricing information.,True,20,,4,13,50,True,False,False,,,,,GenericAgent-gpt-4.1-mini-2025-04-14_on_webmall.Webmall_Best_Fit_Specific_Task11_13,True,,,32,10,20,f99c04c2-c5d4-433a-b794-8bfb00c2a907,(),True,False,50,0.0,0,51,19650,393,1605,57,50,1,408,33,704,95,1447817,58920,150124,6874,752079,29669,50,1,0.0,0.0,0,0,350756,10503,5089,270,0.1484448,0.0043116000000000005,357218,10618,195.23572969436646,17.224268913269043,115.71856045722961,5.040255308151245,False,True,
